year	admin2_km2	admin4_km2
-5790	95903	0
-5780	95903	0
-5770	95903	0
-5760	95903	0
-5750	95903	0
-5740	95903	0
-5730	95903	0
-5720	95903	0
-5710	95903	0
-5700	95903	0
-5690	95903	0
-5680	95903	0
-5670	95903	0
-5660	95903	0
-5650	95903	0
-5640	95903	0
-5630	95903	0
-5620	95903	0
-5610	95903	0
-5600	95903	0
-5590	95903	0
-5580	95903	0
-5570	95903	0
-5560	95903	0
-5550	95903	0
-5540	95903	0
-5530	95903	0
-5520	95903	0
-5510	95903	0
-5500	95903	0
-5490	95903	0
-5480	95903	0
-5470	95903	0
-5460	95903	0
-5450	95903	0
-5440	95903	0
-5430	95903	0
-5420	95903	0
-5410	95903	0
-5400	95903	0
-5390	95903	0
-5380	95903	0
-5370	95903	0
-5360	95903	0
-5350	95903	0
-5340	95903	0
-5330	95903	0
-5320	95903	0
-5310	95903	0
-5300	95903	0
-5290	95903	0
-5280	95903	0
-5270	95903	0
-5260	95903	0
-5250	95903	0
-5240	95903	0
-5230	95903	0
-5220	95903	0
-5210	95903	0
-5200	95903	0
-5190	95903	0
-5180	95903	0
-5170	95903	0
-5160	95903	0
-5150	95903	0
-5140	95903	0
-5130	95903	0
-5120	95903	0
-5110	95903	0
-5100	95903	0
-5090	95903	0
-5080	95903	0
-5070	95903	0
-5060	95903	0
-5050	95903	0
-5040	95903	0
-5030	95903	0
-5020	95903	0
-5010	95903	0
-5000	131180	0
-4990	205414	0
-4980	205414	0
-4970	205414	0
-4960	205414	0
-4950	205414	0
-4940	205414	0
-4930	205414	0
-4920	205414	0
-4910	205414	0
-4900	205414	0
-4890	205414	0
-4880	205414	0
-4870	205414	0
-4860	205414	0
-4850	205414	0
-4840	205414	0
-4830	205414	0
-4820	205414	0
-4810	205414	0
-4800	205414	0
-4790	205414	0
-4780	205414	0
-4770	205414	0
-4760	205414	0
-4750	205414	0
-4740	205414	0
-4730	205414	0
-4720	205414	0
-4710	205414	0
-4700	205414	0
-4690	205414	0
-4680	205414	0
