Street1,Street2,Borough,Lat,Lon,Nodes
100th Street,3rd Avenue,Brooklyn,40.613681,-74.03536,42466144
100th Street,4th Avenue,Brooklyn,40.612842,-74.033655,42508257
100th Street,Fort Hamilton Parkway,Brooklyn,40.611958,-74.031867,42461110
101st Avenue,Drew Street,Brooklyn,40.679367,-73.863359,598763938
101st Avenue,Forbell Street,Brooklyn,40.679114,-73.864243,42460608
101st Avenue,Liberty Avenue,Brooklyn,40.679161,-73.864077,42460608/4566529822
101st Street,3rd Avenue,Brooklyn,40.613109,-74.035738,42466146
101st Street,4th Avenue,Brooklyn,40.612182,-74.034227,42521328/42521331
101st Street,Fort Hamilton Parkway,Brooklyn,40.611154,-74.032555,5379191830
101st Street,Jackson Court,Brooklyn,40.611445,-74.033135,42460762
101st Street,John Warren Avenue,Brooklyn,40.611154,-74.032555,5379191830
10th Avenue,16th Street,Brooklyn,40.659257,-73.978015,42516094
10th Avenue,17th Street,Brooklyn,40.65694,-73.98007,42489353
10th Avenue,18th Street,Brooklyn,40.656381,-73.980653,42496471
10th Avenue,19th Street,Brooklyn,40.655835,-73.981229,42469719
10th Avenue,20th Street,Brooklyn,40.65527,-73.981813,42501930
10th Avenue,38th Street,Brooklyn,40.645184,-73.992319,42483834
10th Avenue,39th Street,Brooklyn,40.644619,-73.992898,42526002
10th Avenue,40th Street,Brooklyn,40.64406,-73.993486,42519671
10th Avenue,41st Street,Brooklyn,40.643502,-73.994078,42526009
10th Avenue,42nd Street,Brooklyn,40.642943,-73.994648,42526018
10th Avenue,43rd Street,Brooklyn,40.642375,-73.995229,42517561
10th Avenue,44th Street,Brooklyn,40.641816,-73.995812,42526024
10th Avenue,45th Street,Brooklyn,40.641256,-73.996393,42506783
10th Avenue,46th Street,Brooklyn,40.640694,-73.996974,42480496
10th Avenue,47th Street,Brooklyn,40.640136,-73.997557,42519607
10th Avenue,48th Street,Brooklyn,40.639575,-73.998139,42492851
10th Avenue,49th Street,Brooklyn,40.639016,-73.998722,42466804
10th Avenue,50th Street,Brooklyn,40.638455,-73.999305,42526035
10th Avenue,51st Street,Brooklyn,40.637896,-73.999889,42473031
10th Avenue,52nd Street,Brooklyn,40.637337,-74.00047,42526037
10th Avenue,59th Street,Brooklyn,40.633415,-74.004553,2620907644
10th Avenue,60th Street,Brooklyn,40.632833,-74.005153,42526041
10th Avenue,61st Street,Brooklyn,40.632253,-74.005759,42484308
10th Avenue,62nd Street,Brooklyn,40.631694,-74.006339,42486098
10th Avenue,63rd Street,Brooklyn,40.631134,-74.006921,42525924
10th Avenue,64th Street,Brooklyn,40.630576,-74.007503,42519476
10th Avenue,65th Street,Brooklyn,40.629974,-74.008128,42524828
10th Avenue,66th Street,Brooklyn,40.629371,-74.008754,42501080
10th Avenue,67th Street,Brooklyn,40.628812,-74.009338,42474185
10th Avenue,68th Street,Brooklyn,40.628252,-74.009919,42504804
10th Avenue,70th Street,Brooklyn,40.627134,-74.011082,42485531
10th Avenue,71st Street,Brooklyn,40.626574,-74.011665,42513450
10th Avenue,72nd Street,Brooklyn,40.626016,-74.012245,42495382
10th Avenue,73rd Street,Brooklyn,40.625465,-74.012843,42482778
10th Avenue,74th Street,Brooklyn,40.624896,-74.013409,42525944
10th Avenue,76th Street,Brooklyn,40.623692,-74.014662,42477691
10th Avenue,77th Street,Brooklyn,40.623133,-74.015242,42485207
10th Avenue,78th Street,Brooklyn,40.622574,-74.015825,42525955
10th Avenue,79th Street,Brooklyn,40.622014,-74.016406,42517300
10th Avenue,80th Street,Brooklyn,40.621454,-74.016987,42494967
10th Avenue,81st Street,Brooklyn,40.620899,-74.01757,42521843
10th Avenue,82nd Street,Brooklyn,40.620336,-74.018152,42505994
10th Avenue,83rd Street,Brooklyn,40.619777,-74.018733,42492471
10th Avenue,84th Street,Brooklyn,40.619217,-74.019313,42525966
10th Avenue,85th Street,Brooklyn,40.618657,-74.019894,42514288
10th Avenue,86th Street,Brooklyn,40.618065,-74.02052,42487928
10th Avenue,Bay Ridge Avenue,Brooklyn,40.627693,-74.0105,42512951
10th Avenue,Bay Ridge Parkway,Brooklyn,40.624294,-74.014033,42509542
10th Avenue,Clinton Avenue,Brooklyn,40.69913,-73.969708,42500039
10th Avenue,Market Street,Brooklyn,40.699512,-73.969681,7835899108
10th Avenue,McDonald Avenue,Brooklyn,40.65527,-73.981813,42501930
10th Avenue,New Utrecht Avenue,Brooklyn,40.643301,-73.99426,42468078
10th Avenue,Ovington Avenue,Brooklyn,40.628162,-74.010014,42504853
10th Avenue,Paulding Street,Brooklyn,40.69913,-73.969708,42500039
10th Avenue,Prospect Avenue,Brooklyn,40.657479,-73.979513,42510750
10th Avenue,Prospect Park Southwest,Brooklyn,40.659855,-73.977502,1691133774
10th Avenue,Sherman Street,Brooklyn,40.658052,-73.979023,42519535
10th Avenue,Windsor Place,Brooklyn,40.658656,-73.978514,42525293
10th Street,2nd Avenue,Brooklyn,40.671992,-73.993891,42496175
10th Street,3rd Avenue,Brooklyn,40.670861,-73.991522,42466186
10th Street,4th Avenue,Brooklyn,40.669754,-73.989212,42521137/1372888835
10th Street,5th Avenue,Brooklyn,40.668578,-73.9868,42465298
10th Street,6th Avenue,Brooklyn,40.667437,-73.984438,42477292
10th Street,7th Avenue,Brooklyn,40.666295,-73.982078,42487586
10th Street,8th Avenue,Brooklyn,40.665155,-73.97972,42521762
10th Street,Prospect Park West,Brooklyn,40.664012,-73.977357,42476123
11th Avenue,16th Street,Brooklyn,40.658116,-73.975652,42516097
11th Avenue,17th Street,Brooklyn,40.65561,-73.977869,42489357
11th Avenue,18th Street,Brooklyn,40.65502,-73.978446,42496475
11th Avenue,19th Street,Brooklyn,40.654465,-73.97908,42469724
11th Avenue,46th Street,Brooklyn,40.639372,-73.994791,42480500
11th Avenue,47th Street,Brooklyn,40.638813,-73.99536,42519598
11th Avenue,48th Street,Brooklyn,40.638246,-73.995942,42492855
11th Avenue,49th Street,Brooklyn,40.637699,-73.996523,42466807
11th Avenue,50th Street,Brooklyn,40.637126,-73.997103,42526699
11th Avenue,51st Street,Brooklyn,40.636566,-73.997686,42473035
11th Avenue,52nd Street,Brooklyn,40.636006,-73.998265,42533655
11th Avenue,53rd Street,Brooklyn,40.635458,-73.998854,42525468
11th Avenue,54th Street,Brooklyn,40.634885,-73.999434,42533669
11th Avenue,55th Street,Brooklyn,40.634326,-74.000016,42517366
11th Avenue,56th Street,Brooklyn,40.633775,-74.000603,42490252
11th Avenue,57th Street,Brooklyn,40.63321,-74.001178,42533678
11th Avenue,58th Street,Brooklyn,40.632653,-74.001767,42521610
11th Avenue,59th Street,Brooklyn,40.632083,-74.002348,2620907643
11th Avenue,60th Street,Brooklyn,40.631503,-74.002951,42533686
11th Avenue,61st Street,Brooklyn,40.630923,-74.003554,42484311
11th Avenue,62nd Street,Brooklyn,40.630364,-74.004137,42486101
11th Avenue,63rd Street,Brooklyn,40.629804,-74.004718,42531500
11th Avenue,64th Street,Brooklyn,40.629246,-74.005298,42519477
11th Avenue,65th Street,Brooklyn,40.628644,-74.005926,42524831
11th Avenue,66th Street,Brooklyn,40.62804,-74.006554,42501084
11th Avenue,67th Street,Brooklyn,40.627481,-74.007136,42474195
11th Avenue,70th Street,Brooklyn,40.625802,-74.008879,42485534
11th Avenue,71st Street,Brooklyn,40.625243,-74.009462,42513453
11th Avenue,72nd Street,Brooklyn,40.624686,-74.010042,42495386
11th Avenue,73rd Street,Brooklyn,40.624126,-74.010624,42482781
11th Avenue,74th Street,Brooklyn,40.623566,-74.011206,42526611
11th Avenue,76th Street,Brooklyn,40.622362,-74.012459,42477695
11th Avenue,77th Street,Brooklyn,40.621803,-74.01304,42485210
11th Avenue,78th Street,Brooklyn,40.621244,-74.013622,42533719
11th Avenue,79th Street,Brooklyn,40.620685,-74.014203,42517307
11th Avenue,80th Street,Brooklyn,40.620125,-74.014784,42494970
11th Avenue,81st Street,Brooklyn,40.619564,-74.015367,42521846
11th Avenue,82nd Street,Brooklyn,40.619005,-74.01595,42505998
11th Avenue,83rd Street,Brooklyn,40.618447,-74.016529,42492475
11th Avenue,84th Street,Brooklyn,40.6179,-74.017117,42533730
11th Avenue,85th Street,Brooklyn,40.617339,-74.017698,42514290
11th Avenue,86th Street,Brooklyn,40.61672,-74.018318,42487932
11th Avenue,Bay Ridge Avenue,Brooklyn,40.626361,-74.008299,42512954
11th Avenue,Bay Ridge Parkway,Brooklyn,40.622965,-74.011832,42509545
11th Avenue,New Utrecht Avenue,Brooklyn,40.639816,-73.994347,42464655
11th Avenue,Ovington Avenue,Brooklyn,40.626809,-74.007834,42504858
11th Avenue,Prospect Avenue,Brooklyn,40.65615,-73.977308,42510753
11th Avenue,Prospect Park Southwest,Brooklyn,40.658718,-73.975151,1691133771
11th Avenue,Sherman Street,Brooklyn,40.656911,-73.976657,42519536
11th Avenue,Terrace Place,Brooklyn,40.654465,-73.97908,42469724
11th Avenue,Windsor Place,Brooklyn,40.657514,-73.976154,42525296
11th Street,2nd Avenue,Brooklyn,40.671399,-73.994386,8132470015
11th Street,3rd Avenue,Brooklyn,40.670257,-73.992024,42466184
11th Street,4th Avenue,Brooklyn,40.669145,-73.989719,42496954/1372888623
11th Street,5th Avenue,Brooklyn,40.667975,-73.9873,42465301
11th Street,6th Avenue,Brooklyn,40.666834,-73.984943,42477295
11th Street,7th Avenue,Brooklyn,40.665693,-73.982581,42487588
11th Street,8th Avenue,Brooklyn,40.664552,-73.980222,42496959
11th Street,Prospect Park West,Brooklyn,40.663413,-73.977855,42476130
11th Street,Prospect Park West Bike Path,Brooklyn,40.663382,-73.977789,4482113708
12th Avenue,36th Street,Brooklyn,40.643571,-73.986725,42460214
12th Avenue,37th Street,Brooklyn,40.643075,-73.987325,42460215
12th Avenue,38th Street,Brooklyn,40.642517,-73.98791,42460216
12th Avenue,39th Street,Brooklyn,40.641956,-73.988494,42460217
